trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
dropout020__g05_full_reconstruction__g1__s43,dropout020,g05_full_reconstruction,1.0,43,structure,0.001,0.0001,0.2,63,early_stopping,56.6030572000891,43,0.35016258430480957,0.07223786407709122,0.4299847142696381,0.06837184119224549,0.5705943965911865,0.9207569808959961,0.8759999923706054,0.836,0.28883463668823245,0.15297481727600099,0.1858622703552246,0.856,0.35016258239746095,0.7232650833129883,0.3549000625610352,32.0,1.0,0.9532000045776368,0.4137041702270508,0.43817049407958986,0.21282551383972168,0.917,0.9607999877929687
dropout020__g05_full_reconstruction__g1__s43,dropout020,g05_full_reconstruction,1.0,43,total,0.001,0.0001,0.2,63,early_stopping,56.6030572000891,40,0.34662054562568667,0.07238993537425994,0.4341819100379944,0.06595339548587799,0.5725252418518066,0.9191457874774933,0.8678000030517579,0.832,0.2986130714416504,0.15278786849975587,0.1818897132873535,0.851,0.34662054443359375,0.7268266296386718,0.3567369079589844,32.0,1.0,0.9576000061035156,0.4139033432006836,0.4393429832458496,0.21696434020996094,0.924,0.9631999893188476
dropout020__g05_sign_only__g0.1__s43,dropout020,g05_sign_only,0.1,43,structure,0.001,0.0001,0.2,61,early_stopping,45.995236299932,41,0.37176321148872377,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9584658234119416,0.8483999938964844,0.808,0.3245461654663086,0.1560664348602295,0.19148273849487304,0.838,0.37176321029663084,0.7416982192993165,0.36329375457763674,3.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0.1__s43,dropout020,g05_sign_only,0.1,43,total,0.001,0.0001,0.2,61,early_stopping,45.995236299932,41,0.37176321148872377,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9584658234119416,0.8483999938964844,0.808,0.3245461654663086,0.1560664348602295,0.19148273849487304,0.838,0.37176321029663084,0.7416982192993165,0.36329375457763674,3.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0.25__s43,dropout020,g05_sign_only,0.25,43,structure,0.001,0.0001,0.2,61,early_stopping,45.758864999748766,41,0.35716807198524475,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9438706839084625,0.8708000106811523,0.829,0.2972513084411621,0.1560664348602295,0.19148273849487304,0.854,0.3571680717468262,0.7416982192993165,0.36329375457763674,8.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0.25__s43,dropout020,g05_sign_only,0.25,43,total,0.001,0.0001,0.2,61,early_stopping,45.758864999748766,41,0.35716807198524475,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9438706839084625,0.8708000106811523,0.829,0.2972513084411621,0.1560664348602295,0.19148273849487304,0.854,0.3571680717468262,0.7416982192993165,0.36329375457763674,8.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0.5__s43,dropout020,g05_sign_only,0.5,43,structure,0.001,0.0001,0.2,86,early_stopping,65.14090770017356,41,0.34712894177436826,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9338315536975861,0.8753999938964844,0.833,0.29192438888549804,0.1560664348602295,0.19148273849487304,0.861,0.3471289405822754,0.7416982192993165,0.36329375457763674,16.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0.5__s43,dropout020,g05_sign_only,0.5,43,total,0.001,0.0001,0.2,86,early_stopping,65.14090770017356,66,0.34273372745513914,0.07536345899105072,0.43758524250984193,0.07767351621389389,0.5906222233772278,0.933355950832367,0.8753999938964844,0.835,0.2924151859283447,0.15675094413757323,0.18935529899597167,0.859,0.34273372650146483,0.7300543060302734,0.3565137825012207,16.0,1.0,0.9534000015258789,0.41473725891113283,0.4426562232971191,0.2121478214263916,0.917,0.9603999862670899
dropout020__g05_sign_only__g0.75__s43,dropout020,g05_sign_only,0.75,43,structure,0.001,0.0001,0.2,86,early_stopping,64.53290500026196,41,0.3457330255508423,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9324356374740601,0.8691999969482422,0.828,0.2995054588317871,0.1560664348602295,0.19148273849487304,0.854,0.345733024597168,0.7416982192993165,0.36329375457763674,24.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0.75__s43,dropout020,g05_sign_only,0.75,43,total,0.001,0.0001,0.2,86,early_stopping,64.53290500026196,66,0.34002907419204714,0.07536345899105072,0.43758524250984193,0.07767351621389389,0.5906222233772278,0.9306512975692749,0.874,0.835,0.2944137725830078,0.15675094413757323,0.18935529899597167,0.86,0.34002907180786135,0.7300543060302734,0.3565137825012207,24.0,1.0,0.9534000015258789,0.41473725891113283,0.4426562232971191,0.2121478214263916,0.917,0.9603999862670899
dropout020__g05_sign_only__g0__s43,dropout020,g05_sign_only,0.0,43,structure,0.001,0.0001,0.2,61,early_stopping,37.8847950999625,41,,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.5867026119232178,,,0.19148273849487304,0.1560664348602295,0.19148273849487304,,,0.7416982192993165,0.36329375457763674,0.0,0.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g0__s43,dropout020,g05_sign_only,0.0,43,total,0.001,0.0001,0.2,61,early_stopping,37.8847950999625,41,,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.5867026119232178,,,0.19148273849487304,0.1560664348602295,0.19148273849487304,,,0.7416982192993165,0.36329375457763674,0.0,0.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g1__s43,dropout020,g05_sign_only,1.0,43,structure,0.001,0.0001,0.2,86,early_stopping,65.04845419991761,41,0.34241537380218506,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.9291179857254028,0.8681999893188477,0.827,0.3005759811401367,0.1560664348602295,0.19148273849487304,0.853,0.3424153709411621,0.7416982192993165,0.36329375457763674,32.0,1.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_sign_only__g1__s43,dropout020,g05_sign_only,1.0,43,total,0.001,0.0001,0.2,86,early_stopping,65.04845419991761,66,0.33437660145759585,0.07536345899105072,0.43758524250984193,0.07767351621389389,0.5906222233772278,0.9249988248348237,0.876,0.837,0.2921360626220703,0.15675094413757323,0.18935529899597167,0.862,0.3343765983581543,0.7300543060302734,0.3565137825012207,32.0,1.0,0.9534000015258789,0.41473725891113283,0.4426562232971191,0.2121478214263916,0.917,0.9603999862670899
