split,model,fraction,checkpoint_selection,metric,baseline_mean,baseline_std,selected_mean,selected_std,improvement_mean,improvement_std,paired_seeds,improved_seeds,improvement_pct
fresh_test,g05_sign_only,1.0,total,relative_configuration_accuracy,0.9136666666666667,0.005507570547286107,0.9136666666666667,0.007094598884597594,0.0,0.011269427669584654,3,2,0.0
fresh_test,g05_sign_only,1.0,total,relative_sign_accuracy,0.9598666661580403,0.0030287485651889815,0.9589333368937174,0.003002214047112236,-0.0009333292643229537,0.004460178145229209,3,2,-0.09723530332173061
historical_test,g05_full_reconstruction,1.0,structure,absolute_sign_accuracy,0.8826666641235352,0.0034775400369713235,0.8783333231608074,0.011566057215173007,-0.004333340962727861,0.008619376008849313,3,1,-0.4909374216631093
historical_test,g05_full_reconstruction,1.0,structure,absolute_sign_set_accuracy,0.8406666666666666,0.005686240703077332,0.8346666666666666,0.012897028081435414,-0.006000000000000005,0.008544003745317538,3,1,-0.713719270420302
historical_test,g05_full_reconstruction,1.0,structure,charge_mae,0.2862796077728272,0.004477412582421112,0.2900966288248698,0.01347756888265778,-0.003817021052042624,0.009123803749653374,3,1,-1.3333192265205152
historical_test,g05_full_reconstruction,1.0,structure,charge_magnitude_mae,0.15557699584960935,0.0008603758225253907,0.15591804949442545,0.0010907374245570892,-0.00034105364481608796,0.0019448100657551248,3,1,-0.2192185566725894
historical_test,g05_full_reconstruction,1.0,structure,global_invariant_charge_mae,0.19353930791219076,0.001547646532589916,0.1947270253499349,0.0015084706230947622,-0.001187717437744142,0.0014711773892041706,3,1,-0.6136827968213114
historical_test,g05_full_reconstruction,1.0,structure,global_sign_accuracy,0.868,0.002645751311064593,0.8636666666666667,0.013203534880225585,-0.0043333333333333375,0.011015141094572214,3,1,-0.49923195084485456
historical_test,g05_full_reconstruction,1.0,structure,global_sign_bce,0.33710103225708005,0.003144678896163384,0.348592399597168,0.016745342741779377,-0.011491367340087877,0.018596527193800935,3,1,-3.408879309311734
historical_test,g05_full_reconstruction,1.0,structure,loss_global_sign,0.3371010332107544,0.0031446795645351617,0.3485924015045166,0.016745342603969347,-0.01149136829376222,0.018596527929358776,3,1,-3.408879582572461
