split,model,fraction,seed,checkpoint_selection,metric,selected_candidate_id,baseline,selected,improvement,improvement_pct,accuracy_delta_pp
validation,g05_full_reconstruction,1.0,41,total,absolute_sign_set_accuracy,dropout020,0.833,0.828,-0.0050000000000000044,-0.6002400960384159,-0.5000000000000004
validation,g05_full_reconstruction,1.0,41,total,charge_mae,dropout020,0.29332593154907227,0.2961565475463867,-0.002830615997314434,-0.9650070767237581,
validation,g05_full_reconstruction,1.0,41,total,charge_magnitude_mae,dropout020,0.1537076473236084,0.15343565559387207,0.0002719917297363261,0.1769539346104806,
validation,g05_full_reconstruction,1.0,41,total,global_invariant_charge_mae,dropout020,0.18759724044799805,0.18765894889831544,-6.170845031738814e-05,-0.03289411409785301,
validation,g05_full_reconstruction,1.0,41,total,global_sign_accuracy,dropout020,0.856,0.854,-0.0020000000000000018,-0.23364485981308433,-0.20000000000000018
validation,g05_full_reconstruction,1.0,41,total,global_sign_bce,dropout020,0.34835707473754884,0.34311250686645506,0.005244567871093786,1.5055149590531576,
validation,g05_full_reconstruction,1.0,41,total,mean_position_3d_error,dropout020,0.7548253479003906,0.7252916183471679,0.029533729553222643,3.9126573631069976,
validation,g05_full_reconstruction,1.0,41,total,mean_position_mae,dropout020,0.3704276275634766,0.35547518539428713,0.01495244216918945,4.036535359832791,
validation,g05_full_reconstruction,1.0,41,total,observations_per_sample,dropout020,32.0,32.0,0.0,0.0,
validation,g05_full_reconstruction,1.0,41,total,observed_sample_fraction,dropout020,1.0,1.0,0.0,0.0,
validation,g05_full_reconstruction,1.0,41,total,pairwise_relative_sign_accuracy,dropout020,0.9520000152587891,0.9526000061035156,0.0005999908447265057,0.0630242473854799,0.059999084472650566
validation,g05_full_reconstruction,1.0,41,total,position_mae_x,dropout020,0.45509666061401366,0.41941147994995115,0.03568518066406251,7.841231050985143,
validation,g05_full_reconstruction,1.0,41,total,position_mae_y,dropout020,0.43370882415771483,0.43583931350708005,-0.0021304893493652166,-0.491225732725807,
validation,g05_full_reconstruction,1.0,41,total,position_mae_z,dropout020,0.22247735595703125,0.211174711227417,0.011302644729614258,5.080357360862031,
validation,g05_full_reconstruction,1.0,41,total,relative_configuration_accuracy,dropout020,0.915,0.916,0.0010000000000000009,0.10928961748633889,0.10000000000000009
validation,g05_full_reconstruction,1.0,41,total,relative_sign_accuracy,dropout020,0.9600000076293945,0.9604000015258789,0.0003999938964843741,0.04166603055265711,0.03999938964843741
validation,g05_sign_only,1.0,42,structure,loss_global_sign,dropout020,0.34910545086860656,0.3474003520011902,0.001705098867416377,0.48841943406324184,
validation,g05_sign_only,1.0,42,structure,loss_magnitude,dropout020,0.07530006521940232,0.07563333451747895,-0.00033326929807662997,-0.4425883259271834,
validation,g05_sign_only,1.0,42,structure,loss_position,dropout020,0.46072743344306943,0.43463032817840574,0.02609710526466369,5.664326317544627,
validation,g05_sign_only,1.0,42,structure,loss_relative_sign,dropout020,0.06493445384502411,0.06937953647971153,-0.004445082634687417,-6.8454916788801805,
validation,g05_sign_only,1.0,42,structure,loss_structure,dropout020,0.6009619393348694,0.5796431913375855,0.02131874799728395,3.5474373004185655,
validation,g05_sign_only,1.0,42,structure,loss_total,dropout020,0.950067390203476,0.9270435433387756,0.02302384686470038,2.4233909196451173,
