trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
baseline__g05_sign_only__g1__s43,baseline,g05_sign_only,1.0,43,structure,0.001,0.0001,0.0,56,early_stopping,34.64869780000299,36,0.3425494289398193,0.07422971874475479,0.4628551061153412,0.06142354932427406,0.598508382320404,0.9410578112602234,0.8783999938964844,0.839,0.28753943252563474,0.15502783203125,0.1883136920928955,0.856,0.3425494289398193,0.7552856674194336,0.3709542198181152,32.0,1.0,0.9532000045776368,0.4358943824768066,0.45611518478393553,0.2208530616760254,0.917,0.9608000030517578
baseline__g05_sign_only__g1__s43,baseline,g05_sign_only,1.0,43,total,0.001,0.0001,0.0,56,early_stopping,34.64869780000299,33,0.34123589873313903,0.07467613172531128,0.4653138885498047,0.05875707930326462,0.5987471127510071,0.9399830114841461,0.8755999908447266,0.835,0.291197868347168,0.1554702434539795,0.1885644416809082,0.858,0.341235897064209,0.7593000869750977,0.3725656394958496,32.0,1.0,0.9524000015258789,0.43694368743896483,0.4607727241516113,0.21998046112060546,0.915,0.9592000045776368
decay001__g05_full_reconstruction__g1__s41,decay001,g05_full_reconstruction,1.0,41,structure,0.001,0.001,0.0,57,early_stopping,42.7103890000144,37,0.3473245840072632,0.07465184617042542,0.4634997720718384,0.06700703871250152,0.6051586451530456,0.9524832291603088,0.8731999969482422,0.831,0.2908242530822754,0.15499380111694336,0.19032789039611817,0.858,0.3473245811462402,0.7562318420410157,0.37045262145996094,32.0,1.0,0.9496000061035156,0.45905993270874024,0.43102719116210936,0.22127070426940917,0.911,0.9583999938964843
decay001__g05_full_reconstruction__g1__s41,decay001,g05_full_reconstruction,1.0,41,total,0.001,0.001,0.0,57,early_stopping,42.7103890000144,37,0.3473245840072632,0.07465184617042542,0.4634997720718384,0.06700703871250152,0.6051586451530456,0.9524832291603088,0.8731999969482422,0.831,0.2908242530822754,0.15499380111694336,0.19032789039611817,0.858,0.3473245811462402,0.7562318420410157,0.37045262145996094,32.0,1.0,0.9496000061035156,0.45905993270874024,0.43102719116210936,0.22127070426940917,0.911,0.9583999938964843
decay001__g05_sign_only__g1__s41,decay001,g05_sign_only,1.0,41,structure,0.001,0.001,0.0,57,early_stopping,36.37818459997652,37,0.34503507375717163,0.07476192158460616,0.45915176773071287,0.06472604045271874,0.5986397342681885,0.9436748080253601,0.8761999893188477,0.838,0.28810481643676755,0.1554209327697754,0.1860130615234375,0.857,0.34503507232666014,0.7464463806152344,0.3664259948730469,32.0,1.0,0.9539999923706055,0.45740149688720705,0.419128662109375,0.2227477798461914,0.917,0.9592000045776368
decay001__g05_sign_only__g1__s41,decay001,g05_sign_only,1.0,41,total,0.001,0.001,0.0,57,early_stopping,36.37818459997652,37,0.34503507375717163,0.07476192158460616,0.45915176773071287,0.06472604045271874,0.5986397342681885,0.9436748080253601,0.8761999893188477,0.838,0.28810481643676755,0.1554209327697754,0.1860130615234375,0.857,0.34503507232666014,0.7464463806152344,0.3664259948730469,32.0,1.0,0.9539999923706055,0.45740149688720705,0.419128662109375,0.2227477798461914,0.917,0.9592000045776368
dropout010__g05_full_reconstruction__g1__s41,dropout010,g05_full_reconstruction,1.0,41,structure,0.001,0.0001,0.1,54,early_stopping,40.48147350002546,34,0.34933091068267824,0.07336364418268204,0.4545693097114563,0.06355395475029946,0.5914869012832642,0.9408178119659425,0.8747999954223633,0.839,0.2898153533935547,0.15422147941589356,0.18350095748901368,0.858,0.3493309097290039,0.752205307006836,0.3679920883178711,32.0,1.0,0.9571999893188476,0.4566640892028809,0.43252403259277344,0.21478807640075684,0.924,0.963999984741211
dropout010__g05_full_reconstruction__g1__s41,dropout010,g05_full_reconstruction,1.0,41,total,0.001,0.0001,0.1,54,early_stopping,40.48147350002546,34,0.34933091068267824,0.07336364418268204,0.4545693097114563,0.06355395475029946,0.5914869012832642,0.9408178119659425,0.8747999954223633,0.839,0.2898153533935547,0.15422147941589356,0.18350095748901368,0.858,0.3493309097290039,0.752205307006836,0.3679920883178711,32.0,1.0,0.9571999893188476,0.4566640892028809,0.43252403259277344,0.21478807640075684,0.924,0.963999984741211
dropout010__g05_sign_only__g1__s41,dropout010,g05_sign_only,1.0,41,structure,0.001,0.0001,0.1,55,early_stopping,34.8651772000012,35,0.34585367393493655,0.07437743735313415,0.46278684258461,0.06194375562667847,0.5991080322265625,0.944961706161499,0.8765999984741211,0.838,0.28951622009277345,0.15535120391845703,0.1865133457183838,0.857,0.3458536720275879,0.759872802734375,0.3724418334960938,32.0,1.0,0.954999984741211,0.458973087310791,0.4389674224853516,0.21938495254516602,0.92,0.9619999923706055
dropout010__g05_sign_only__g1__s41,dropout010,g05_sign_only,1.0,41,total,0.001,0.0001,0.1,55,early_stopping,34.8651772000012,35,0.34585367393493655,0.07437743735313415,0.46278684258461,0.06194375562667847,0.5991080322265625,0.944961706161499,0.8765999984741211,0.838,0.28951622009277345,0.15535120391845703,0.1865133457183838,0.857,0.3458536720275879,0.759872802734375,0.3724418334960938,32.0,1.0,0.954999984741211,0.458973087310791,0.4389674224853516,0.21938495254516602,0.92,0.9619999923706055
