split,candidate_id,fraction,seed,checkpoint_selection,metric,sign_only,full,full_improvement
validation,baseline,1.0,43,structure,relative_configuration_accuracy,0.917,0.918,0.0010000000000000009
validation,baseline,1.0,43,structure,relative_sign_accuracy,0.9608000030517578,0.9616000061035156,0.0008000030517577583
validation,baseline,1.0,43,total,loss_global_sign,0.34123589873313903,0.3505796298980713,-0.009343731164932256
validation,baseline,1.0,43,total,loss_magnitude,0.07467613172531128,0.07336565500497819,0.0013104767203330897
validation,baseline,1.0,43,total,loss_position,0.4653138885498047,0.46678959703445433,-0.0014757084846496182
validation,baseline,1.0,43,total,loss_relative_sign,0.05875707930326462,0.056472340106964114,0.0022847391963005045
validation,baseline,1.0,43,total,loss_structure,0.5987471127510071,0.5966275882720947,0.0021195244789123935
validation,baseline,1.0,43,total,loss_total,0.9399830114841461,0.9472072181701661,-0.007224206686019974
validation,baseline,1.0,43,total,absolute_sign_accuracy,0.8755999908447266,0.8741999893188477,-0.0014000015258789356
validation,baseline,1.0,43,total,absolute_sign_set_accuracy,0.835,0.835,0.0
validation,baseline,1.0,43,total,charge_mae,0.291197868347168,0.2910713596343994,0.00012650871276859155
validation,baseline,1.0,43,total,charge_magnitude_mae,0.1554702434539795,0.15418047523498535,0.0012897682189941528
validation,baseline,1.0,43,total,global_invariant_charge_mae,0.1885644416809082,0.1867463550567627,0.0018180866241454818
validation,baseline,1.0,43,total,global_sign_accuracy,0.858,0.851,-0.007000000000000006
validation,baseline,1.0,43,total,global_sign_bce,0.341235897064209,0.3505796279907227,-0.009343730926513694
validation,baseline,1.0,43,total,mean_position_3d_error,0.7593000869750977,0.7631776580810546,-0.0038775711059569895
validation,baseline,1.0,43,total,mean_position_mae,0.3725656394958496,0.3730879554748535,-0.0005223159790039289
validation,baseline,1.0,43,total,observations_per_sample,32.0,32.0,0.0
validation,baseline,1.0,43,total,observed_sample_fraction,1.0,1.0,0.0
validation,baseline,1.0,43,total,pairwise_relative_sign_accuracy,0.9524000015258789,0.953599983215332,0.0011999816894531223
validation,baseline,1.0,43,total,position_mae_x,0.43694368743896483,0.43873909378051756,-0.00179540634155273
validation,baseline,1.0,43,total,position_mae_y,0.4607727241516113,0.46041915130615235,0.0003535728454589493
validation,baseline,1.0,43,total,position_mae_z,0.21998046112060546,0.22010556411743165,-0.00012510299682619297
validation,baseline,1.0,43,total,relative_configuration_accuracy,0.915,0.918,0.0030000000000000027
validation,baseline,1.0,43,total,relative_sign_accuracy,0.9592000045776368,0.9616000061035156,0.0024000015258788254
validation,dropout020,1.0,41,structure,loss_global_sign,0.3426971724033356,0.350703661441803,-0.008006489038467401
validation,dropout020,1.0,41,structure,loss_magnitude,0.07385378813743591,0.07298920184373855,0.0008645862936973586
validation,dropout020,1.0,41,structure,loss_position,0.4472161099910736,0.4353865842819214,0.011829525709152189
validation,dropout020,1.0,41,structure,loss_relative_sign,0.06603196179866791,0.06715135240554809,-0.0011193906068801829
validation,dropout020,1.0,41,structure,loss_structure,0.5871018548011779,0.5755271415710449,0.011574713230133038
validation,dropout020,1.0,41,structure,loss_total,0.9297990272045136,0.9262308030128479,0.003568224191665692
validation,dropout020,1.0,41,structure,absolute_sign_accuracy,0.8745999908447266,0.8710000152587891,-0.0035999755859374982
validation,dropout020,1.0,41,structure,absolute_sign_set_accuracy,0.839,0.834,-0.0050000000000000044
validation,dropout020,1.0,41,structure,charge_mae,0.2929573783874512,0.29435736846923827,-0.0013999900817870947
validation,dropout020,1.0,41,structure,charge_magnitude_mae,0.15511098670959472,0.1532922191619873,0.0018187675476074305
validation,dropout020,1.0,41,structure,global_invariant_charge_mae,0.18656410598754883,0.1858741226196289,0.0006899833679199219
validation,dropout020,1.0,41,structure,global_sign_accuracy,0.855,0.857,0.0020000000000000018
validation,dropout020,1.0,41,structure,global_sign_bce,0.34269717025756835,0.3507036590576172,-0.008006488800048839
validation,dropout020,1.0,41,structure,mean_position_3d_error,0.7365636215209961,0.7170466842651367,0.019516937255859346
validation,dropout020,1.0,41,structure,mean_position_mae,0.3611709747314453,0.3522835922241211,0.008887382507324237
validation,dropout020,1.0,41,structure,observations_per_sample,32.0,32.0,0.0
validation,dropout020,1.0,41,structure,observed_sample_fraction,1.0,1.0,0.0
validation,dropout020,1.0,41,structure,pairwise_relative_sign_accuracy,0.954999984741211,0.9541999816894531,-0.0008000030517578693
validation,dropout020,1.0,41,structure,position_mae_x,0.4230592460632324,0.4131784019470215,0.00988084411621093
validation,dropout020,1.0,41,structure,position_mae_y,0.44331318664550784,0.4266377639770508,0.016675422668457063
validation,dropout020,1.0,41,structure,position_mae_z,0.21714043045043946,0.21703456115722655,0.00010586929321290683
validation,dropout020,1.0,41,structure,relative_configuration_accuracy,0.92,0.92,0.0
validation,dropout020,1.0,41,structure,relative_sign_accuracy,0.9620000076293945,0.9636000137329102,0.0016000061035156277
validation,dropout020,1.0,41,total,loss_global_sign,0.3426971724033356,0.3431125099658966,-0.0004153375625610134
validation,dropout020,1.0,41,total,loss_magnitude,0.07385378813743591,0.0736674787402153,0.00018630939722061313
validation,dropout020,1.0,41,total,loss_position,0.4472161099910736,0.43699220776557923,0.010223902225494352
validation,dropout020,1.0,41,total,loss_relative_sign,0.06603196179866791,0.06576152718067169,0.0002704346179962236
validation,dropout020,1.0,41,total,loss_structure,0.5871018548011779,0.5764212160110473,0.010680638790130592
validation,dropout020,1.0,41,total,loss_total,0.9297990272045136,0.9195337259769439,0.010265301227569634
validation,dropout020,1.0,41,total,absolute_sign_accuracy,0.8745999908447266,0.868,-0.006599990844726622
validation,dropout020,1.0,41,total,absolute_sign_set_accuracy,0.839,0.828,-0.01100000000000001
validation,dropout020,1.0,41,total,charge_mae,0.2929573783874512,0.2961565475463867,-0.003199169158935533
validation,dropout020,1.0,41,total,charge_magnitude_mae,0.15511098670959472,0.15343565559387207,0.0016753311157226558
validation,dropout020,1.0,41,total,global_invariant_charge_mae,0.18656410598754883,0.18765894889831544,-0.0010948429107666136
validation,dropout020,1.0,41,total,global_sign_accuracy,0.855,0.854,-0.0010000000000000009
validation,dropout020,1.0,41,total,global_sign_bce,0.34269717025756835,0.34311250686645506,-0.0004153366088867072
validation,dropout020,1.0,41,total,mean_position_3d_error,0.7365636215209961,0.7252916183471679,0.011272003173828149
validation,dropout020,1.0,41,total,mean_position_mae,0.3611709747314453,0.35547518539428713,0.005695789337158197
validation,dropout020,1.0,41,total,observations_per_sample,32.0,32.0,0.0
validation,dropout020,1.0,41,total,observed_sample_fraction,1.0,1.0,0.0
validation,dropout020,1.0,41,total,pairwise_relative_sign_accuracy,0.954999984741211,0.9526000061035156,-0.002399978637695366
validation,dropout020,1.0,41,total,position_mae_x,0.4230592460632324,0.41941147994995115,0.00364776611328127
validation,dropout020,1.0,41,total,position_mae_y,0.44331318664550784,0.43583931350708005,0.007473873138427789
validation,dropout020,1.0,41,total,position_mae_z,0.21714043045043946,0.211174711227417,0.00596571922302247
validation,dropout020,1.0,41,total,relative_configuration_accuracy,0.92,0.916,-0.0040000000000000036
validation,dropout020,1.0,41,total,relative_sign_accuracy,0.9620000076293945,0.9604000015258789,-0.0016000061035156277
validation,dropout020,1.0,42,structure,loss_global_sign,0.3474003520011902,0.36097677326202393,-0.013576421260833749
validation,dropout020,1.0,42,structure,loss_magnitude,0.07563333451747895,0.0736293676495552,0.0020039668679237427
validation,dropout020,1.0,42,structure,loss_position,0.43463032817840574,0.44064544582366943,-0.00601511764526369
validation,dropout020,1.0,42,structure,loss_relative_sign,0.06937953647971153,0.06577696168422699,0.0036025747954845366
validation,dropout020,1.0,42,structure,loss_structure,0.5796431913375855,0.5800517778396607,-0.0004085865020752033
validation,dropout020,1.0,42,structure,loss_total,0.9270435433387756,0.9410285511016846,-0.013985007762909007
validation,dropout020,1.0,42,structure,absolute_sign_accuracy,0.8734000015258789,0.8652000045776367,-0.00819999694824225
validation,dropout020,1.0,42,structure,absolute_sign_set_accuracy,0.833,0.828,-0.0050000000000000044
validation,dropout020,1.0,42,structure,charge_mae,0.29456460189819333,0.30125238418579103,-0.006687782287597699
validation,dropout020,1.0,42,structure,charge_magnitude_mae,0.15716864967346192,0.15393854141235352,0.0032301082611083942
validation,dropout020,1.0,42,structure,global_invariant_charge_mae,0.1912383861541748,0.1840909481048584,0.00714743804931639
validation,dropout020,1.0,42,structure,global_sign_accuracy,0.859,0.852,-0.007000000000000006
validation,dropout020,1.0,42,structure,global_sign_bce,0.3474003505706787,0.3609767723083496,-0.01357642173767093
validation,dropout020,1.0,42,structure,mean_position_3d_error,0.7264714584350586,0.7351368560791015,-0.00866539764404295
validation,dropout020,1.0,42,structure,mean_position_mae,0.3566276626586914,0.36099311447143556,-0.00436545181274417
validation,dropout020,1.0,42,structure,observations_per_sample,32.0,32.0,0.0
validation,dropout020,1.0,42,structure,observed_sample_fraction,1.0,1.0,0.0
validation,dropout020,1.0,42,structure,pairwise_relative_sign_accuracy,0.951999984741211,0.9570000152587891,0.005000030517578136
validation,dropout020,1.0,42,structure,position_mae_x,0.44601437759399415,0.44702748489379884,-0.0010131072998046942
validation,dropout020,1.0,42,structure,position_mae_y,0.40965293502807615,0.4184217414855957,-0.00876880645751954
validation,dropout020,1.0,42,structure,position_mae_z,0.21421563529968263,0.21753009033203125,-0.0033144550323486177
validation,dropout020,1.0,42,structure,relative_configuration_accuracy,0.915,0.924,0.009000000000000008
validation,dropout020,1.0,42,structure,relative_sign_accuracy,0.9599999771118164,0.9644000015258789,0.004400024414062509
validation,dropout020,1.0,42,total,loss_global_sign,0.34011833810806275,0.34039738297462463,-0.0002790448665618839
validation,dropout020,1.0,42,total,loss_magnitude,0.07505424177646637,0.07325372123718261,0.0018005205392837564
validation,dropout020,1.0,42,total,loss_position,0.43654400897026063,0.44399619460105894,-0.0074521856307983025
validation,dropout020,1.0,42,total,loss_relative_sign,0.07212937426567077,0.06326324117183685,0.008866133093833925
validation,dropout020,1.0,42,total,loss_structure,0.5837276191711426,0.5805131635665893,0.0032144556045532457
validation,dropout020,1.0,42,total,loss_total,0.9238459572792053,0.920910546541214,0.0029354107379913064
validation,dropout020,1.0,42,total,absolute_sign_accuracy,0.8751999893188477,0.8737999954223633,-0.001399993896484375
validation,dropout020,1.0,42,total,absolute_sign_set_accuracy,0.833,0.837,0.0040000000000000036
validation,dropout020,1.0,42,total,charge_mae,0.29115667724609373,0.2917879409790039,-0.00063126373291017
validation,dropout020,1.0,42,total,charge_magnitude_mae,0.15675306129455566,0.15360665130615234,0.0031464099884033203
validation,dropout020,1.0,42,total,global_invariant_charge_mae,0.19218236541748046,0.18524544143676758,0.0069369239807128835
validation,dropout020,1.0,42,total,global_sign_accuracy,0.862,0.859,-0.0030000000000000027
validation,dropout020,1.0,42,total,global_sign_bce,0.34011833572387695,0.34039738273620607,-0.00027904701232911444
validation,dropout020,1.0,42,total,mean_position_3d_error,0.730455940246582,0.7354437713623047,-0.004987831115722652
validation,dropout020,1.0,42,total,mean_position_mae,0.35969870376586915,0.3611834945678711,-0.001484790802001923
validation,dropout020,1.0,42,total,observations_per_sample,32.0,32.0,0.0
validation,dropout020,1.0,42,total,observed_sample_fraction,1.0,1.0,0.0
validation,dropout020,1.0,42,total,pairwise_relative_sign_accuracy,0.9497999954223633,0.9542000045776368,0.004400009155273499
validation,dropout020,1.0,42,total,position_mae_x,0.44460320281982424,0.4487043418884277,-0.004101139068603488
validation,dropout020,1.0,42,total,position_mae_y,0.4166631011962891,0.4156841926574707,0.0009789085388183794
validation,dropout020,1.0,42,total,position_mae_z,0.21782973670959474,0.2191619129180908,-0.001332176208496072
validation,dropout020,1.0,42,total,relative_configuration_accuracy,0.911,0.919,0.008000000000000007
validation,dropout020,1.0,42,total,relative_sign_accuracy,0.957999984741211,0.9620000152587891,0.004000030517578135
validation,dropout020,1.0,43,structure,loss_global_sign,0.3399396142959595,0.3472182898521423,-0.007278675556182834
validation,dropout020,1.0,43,structure,loss_magnitude,0.07416595262289047,0.07240052253007889,0.0017654300928115763
validation,dropout020,1.0,43,structure,loss_position,0.4467496316432953,0.43720490407943724,0.009544727563858046
validation,dropout020,1.0,43,structure,loss_relative_sign,0.06532292664051056,0.05865199714899063,0.006670929491519935
validation,dropout020,1.0,43,structure,loss_structure,0.5862385225296021,0.568257426738739,0.017981095790863044
validation,dropout020,1.0,43,structure,loss_total,0.9261781368255615,0.9154757165908813,0.010702420234680154
validation,dropout020,1.0,43,structure,absolute_sign_accuracy,0.8748000030517578,0.8711999893188477,-0.003600013732910079
validation,dropout020,1.0,43,structure,absolute_sign_set_accuracy,0.837,0.836,-0.0010000000000000009
validation,dropout020,1.0,43,structure,charge_mae,0.2942585105895996,0.2937624092102051,0.0004961013793945424
validation,dropout020,1.0,43,structure,charge_magnitude_mae,0.15599177742004394,0.15269769668579103,0.0032940807342529133
validation,dropout020,1.0,43,structure,global_invariant_charge_mae,0.18817218017578125,0.18289797401428223,0.005274206161499012
validation,dropout020,1.0,43,structure,global_sign_accuracy,0.856,0.852,-0.0040000000000000036
validation,dropout020,1.0,43,structure,global_sign_bce,0.3399396133422852,0.3472182884216309,-0.007278675079345709
validation,dropout020,1.0,43,structure,mean_position_3d_error,0.7388299407958985,0.7286698608398438,0.010160079956054724
validation,dropout020,1.0,43,structure,mean_position_mae,0.36261681365966797,0.35775014877319333,0.0048666648864746365
validation,dropout020,1.0,43,structure,observations_per_sample,32.0,32.0,0.0
validation,dropout020,1.0,43,structure,observed_sample_fraction,1.0,1.0,0.0
validation,dropout020,1.0,43,structure,pairwise_relative_sign_accuracy,0.9537999877929687,0.9571999893188476,0.0034000015258789373
validation,dropout020,1.0,43,structure,position_mae_x,0.41879575729370117,0.4194169120788574,-0.0006211547851562305
validation,dropout020,1.0,43,structure,position_mae_y,0.4520760078430176,0.4377097015380859,0.014366306304931686
validation,dropout020,1.0,43,structure,position_mae_z,0.21697865676879882,0.21612377738952637,0.0008548793792724496
validation,dropout020,1.0,43,structure,relative_configuration_accuracy,0.918,0.924,0.006000000000000005
validation,dropout020,1.0,43,structure,relative_sign_accuracy,0.9612000045776368,0.9640000152587891,0.0028000106811523207
validation,dropout020,1.0,43,total,loss_global_sign,0.3399396142959595,0.34336164021492005,-0.0034220259189605695
validation,dropout020,1.0,43,total,loss_magnitude,0.07416595262289047,0.07422063767910003,-5.468505620956354e-05
validation,dropout020,1.0,43,total,loss_position,0.4467496316432953,0.4298353590965271,0.016914272546768194
