test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
8870,0.4580490291118622,1.013343095779419,0.6180906295776367,0.6202618479728699,0.13579456508159637,0.13158385455608368,0.13158385455608368,0.13158385455608368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.013343095779419,1.0,0.017230119556188583,0.0,0.9827699065208435,1.0,0.13158385455608368,0.6512091046193292,0.5205928615023159,0.738402368551356
7866,0.30266764760017395,0.671026885509491,0.2870055139064789,0.49673959612846375,0.12425778061151505,0.2304641455411911,1.1171025037765503,0.3814615309238434,0.20000000298023224,0.0,1.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.671026885509491,0.0,0.2811445891857147,0.0,0.7188553810119629,0.371969997882843,1.1171025037765503,2.0568051167972574,0.06947382920287763,0.13877295608879192
9936,0.40061283111572266,0.7968291640281677,0.46916887164115906,0.5790000557899475,0.15366944670677185,0.23959140479564667,0.23959140479564667,0.23959140479564667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7968291640281677,1.0,0.9608632326126099,1.0,0.9608632326126099,0.9999929666519165,0.23959140479564667,0.33340767380549713,0.33288788856338647,0.5914311396169355
1281,0.6919188499450684,1.5472644567489624,1.03220796585083,0.5942920446395874,0.44925656914711,0.20722126960754395,1.2275956869125366,0.20722126960754395,1.0,1.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.6950610280036926,1.0,0.03973995894193649,1.0,0.9602600336074829,1.0,0.20722126960754395,0.6803612957148233,0.5464341071510078,0.8557270834359404
6480,0.4460951089859009,1.0311611890792847,0.6320659518241882,0.5840678215026855,0.12215148657560349,0.109645776450634,0.109645776450634,0.109645776450634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0311611890792847,1.0,0.01510782353579998,0.0,0.9848921895027161,0.9992467164993286,0.109645776450634,0.4206221019788345,0.4206221019788345,1.3541633708182172
3334,0.8053622245788574,1.6602146625518799,0.9441367983818054,1.200563669204712,0.2713862359523773,0.30817508697509766,0.30817508697509766,0.30817508697509766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.386392593383789,1.0,0.9979144930839539,1.0,0.9979144930839539,1.0,0.30817508697509766,0.4671075369354376,0.4671075369354376,0.8999134157820455
7779,0.4584672451019287,0.8806800842285156,0.7050100564956665,0.36893200874328613,0.3014596402645111,0.23182013630867004,0.23182013630867004,0.23182013630867004,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.9275358319282532,1.0,0.3966723680496216,0.0,0.6033276319503784,1.0,0.23182013630867004,0.877862827970145,0.8384731399674776,0.9738286605951212
9558,0.5884841084480286,1.1258586645126343,0.8713407516479492,0.43188047409057617,0.46223101019859314,0.13859303295612335,0.13859303295612335,0.13859303295612335,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,1.1699596643447876,1.0,0.050190821290016174,0.0,0.949809193611145,1.0,0.13859303295612335,0.7137074019343074,0.5482138049553328,0.795325960615361
1591,0.49463438987731934,1.0468143224716187,0.7406153082847595,0.5444859862327576,0.1988019198179245,0.24599440395832062,0.7614734172821045,0.7614734172821045,0.6000000238418579,0.0,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.7426812052726746,0.0,0.9521391987800598,0.0,0.9521391987800598,0.9999991655349731,0.7831078171730042,0.3093958066536869,0.3093958066536869,1.1146110455112934
891,0.32554545998573303,0.7283955216407776,0.4044017493724823,0.3220575749874115,0.2501771152019501,0.11957954615354538,0.11957954615354538,0.11957954615354538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5825812220573425,1.0,0.01398549135774374,0.0,0.9860144853591919,1.0,0.11957954615354538,0.5778448761503696,0.5435087077528844,0.7427268527572305
