seed,model,fraction,selection,epoch,position_mae_x,position_mae_y,position_mae_z,mean_position_mae,mean_position_3d_error,charge_magnitude_mae,relative_sign_accuracy,relative_configuration_accuracy,pairwise_relative_sign_accuracy,charge_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,absolute_sign_accuracy,absolute_sign_set_accuracy,observed_sample_fraction,observations_per_sample,max_abs_difference_from_saved
43,g05_sign_only,0.1,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.3057953987121582,0.19724883460998535,0.853,0.36530050277709963,0.8678000030517579,0.824,1.0,3.0,0.0
43,g05_sign_only,0.1,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.3057953987121582,0.19724883460998535,0.853,0.36530050277709963,0.8678000030517579,0.824,1.0,3.0,0.0
43,g05_sign_only,0.1,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.3591229095458984,0.23850854873657226,0.857,0.3594554481506348,0.8474000167846679,0.789,1.0,3.0,
43,g05_sign_only,0.25,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.2910685920715332,0.19724883460998535,0.864,0.3517534828186035,0.8804000015258789,0.837,1.0,8.0,0.0
43,g05_sign_only,0.25,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.2910685920715332,0.19724883460998535,0.864,0.3517534828186035,0.8804000015258789,0.837,1.0,8.0,0.0
43,g05_sign_only,0.25,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.33800726699829103,0.23850854873657226,0.873,0.3397295913696289,0.8650000152587891,0.806,1.0,8.0,
43,g05_sign_only,0.5,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.29180274391174316,0.19724883460998535,0.864,0.3409062690734863,0.8796000061035156,0.837,1.0,16.0,0.0
43,g05_sign_only,0.5,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.29180274391174316,0.19724883460998535,0.864,0.3409062690734863,0.8796000061035156,0.837,1.0,16.0,0.0
43,g05_sign_only,0.5,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.3396187934875488,0.23850854873657226,0.867,0.34363945388793943,0.8637999877929687,0.805,1.0,16.0,
43,g05_sign_only,0.75,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.2761736145019531,0.19724883460998535,0.879,0.3342213249206543,0.893,0.85,1.0,24.0,0.0
43,g05_sign_only,0.75,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.2761736145019531,0.19724883460998535,0.879,0.3342213249206543,0.893,0.85,1.0,24.0,0.0
43,g05_sign_only,0.75,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.34419784164428713,0.23850854873657226,0.865,0.33511509323120114,0.8602000045776367,0.803,1.0,24.0,
43,g05_sign_only,1.0,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.2836688289642334,0.19724883460998535,0.871,0.332178279876709,0.8866000061035156,0.843,1.0,32.0,0.0
43,g05_sign_only,1.0,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.2836688289642334,0.19724883460998535,0.871,0.332178279876709,0.8866000061035156,0.843,1.0,32.0,0.0
43,g05_sign_only,1.0,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.3379986228942871,0.23850854873657226,0.869,0.32896133422851564,0.8666000137329102,0.81,1.0,32.0,
