test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
736,0.3799012303352356,0.7705801129341125,0.4849759042263031,0.39399993419647217,0.2607278525829315,0.16807618737220764,0.16807618737220764,0.16807618737220764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7705801129341125,1.0,0.7847627401351929,1.0,0.7847627401351929,0.9863471388816833,0.16807618737220764,0.3891269099953941,0.3879612124006451,0.7815883277589574
1202,0.39606255292892456,0.7816312909126282,0.4855685830116272,0.5245344042778015,0.17808474600315094,0.11285364627838135,0.11285364627838135,0.11285364627838135,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.6079398989677429,1.0,0.978305995464325,1.0,0.978305995464325,0.9855037331581116,0.11285364627838135,0.29618448957717497,0.2926149703463844,0.6609872522504915
2673,0.5395457148551941,1.0431193113327026,0.6031598448753357,0.6821522116661072,0.3333251178264618,0.2102222442626953,1.1762193441390991,0.2102222442626953,1.0,1.0,0.0,0.0,0.0,0.6000000238418579,0.0,0.7137565016746521,1.0,0.022186918184161186,1.0,0.9778130650520325,0.9989649057388306,0.2102222442626953,1.377367819137544,0.6500786892097099,0.8771520896326506
7108,0.4201352596282959,0.8432249426841736,0.48786240816116333,0.4994300901889801,0.27311328053474426,0.05526753142476082,0.05526753142476082,0.05526753142476082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8432249426841736,1.0,0.052566513419151306,0.0,0.9474334716796875,0.9278643131256104,0.05526753142476082,0.44695800429493215,0.44695800429493215,0.8013933890658969
6770,0.3518749475479126,0.7094914317131042,0.5277707576751709,0.39748725295066833,0.13036678731441498,0.1044580265879631,0.1044580265879631,0.1044580265879631,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.5618801712989807,1.0,0.623525857925415,1.0,0.623525857925415,0.9999982118606567,0.1044580265879631,1.2488665734706055,0.7461020361252466,0.937763102037954
3894,0.3469711244106293,0.7798958420753479,0.37690019607543945,0.5461365580558777,0.11787652224302292,0.09233995527029037,0.09233995527029037,0.09233995527029037,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7704139947891235,1.0,0.4892843961715698,0.0,0.5107156038284302,0.9999061822891235,0.09233995527029037,0.5005694117401992,0.49955020688219753,0.76028116285131
8742,0.48653289675712585,1.043412208557129,0.516740620136261,0.6854199171066284,0.25743815302848816,0.10748471319675446,0.10748471319675446,0.10748471319675446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.043412208557129,1.0,0.23524059355258942,0.0,0.7647594213485718,0.9366087317466736,0.10748471319675446,0.4106685819553166,0.3381485533712748,0.5895917732917402
5542,0.22876067459583282,0.4565253257751465,0.28347402811050415,0.12575869262218475,0.2770492136478424,0.16325892508029938,0.16325892508029938,0.16325892508029938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4565253257751465,1.0,0.9778702259063721,1.0,0.9778702259063721,0.9841557741165161,0.16325892508029938,0.1919862837575506,0.1919862837575506,0.5991945458179782
2752,0.26904386281967163,0.502480685710907,0.17041455209255219,0.3303491771221161,0.30636781454086304,0.09738726913928986,0.09738726913928986,0.09738726913928986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.502480685710907,1.0,0.029603466391563416,0.0,0.9703965187072754,0.9941954016685486,0.09738726913928986,0.15389965413919615,0.15389965413919615,0.3195358579248029
3331,0.3505750298500061,0.757941722869873,0.1982821822166443,0.6629866361618042,0.19045619666576385,0.18301649391651154,0.18301649391651154,0.18301649391651154,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.6939062476158142,1.0,0.9797362089157104,1.0,0.9797362089157104,0.9998522996902466,0.18301649391651154,0.8308204325297396,0.5274401581980366,0.8964686175234535
