seed,protocol_fingerprint,model,fraction,sensor_count,selection,epoch,validation_loss,absolute_sign_accuracy,absolute_sign_set_accuracy,charge_mae,charge_magnitude_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,mean_position_3d_error,mean_position_mae,observations_per_sample,observed_sample_fraction,pairwise_relative_sign_accuracy,position_mae_x,position_mae_y,position_mae_z,relative_configuration_accuracy,relative_sign_accuracy,source
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.75,24,structure,37,0.5906645221710205,0.885,0.847,0.2811720142364502,0.15552479934692381,0.19086493301391602,0.867,0.34232909393310545,0.7332394638061523,0.35994944763183595,24.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.75,24,total,37,0.936997935295105,0.885,0.847,0.2811720142364502,0.15552479934692381,0.19086493301391602,0.867,0.34232909393310545,0.7332394638061523,0.35994944763183595,24.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,1.0,32,structure,37,0.5906645221710205,0.8828000030517578,0.844,0.28409596824645994,0.15552479934692381,0.19086493301391602,0.864,0.3403714141845703,0.7332394638061523,0.35994944763183595,32.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_100pct__seed_41__47b3174b2f65\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,1.0,32,total,37,0.9362796866893768,0.8828000030517578,0.844,0.28409596824645994,0.15552479934692381,0.19086493301391602,0.864,0.3403714141845703,0.7332394638061523,0.35994944763183595,32.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_100pct__seed_41__47b3174b2f65\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.0,0,structure,27,0.6065466957092285,,,0.1953316078186035,0.1591237678527832,0.1953316078186035,,,0.76283984375,0.3746533432006836,0.0,0.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_000pct__seed_42__7d8ae61c4605\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.0,0,total,27,0.6065466957092285,,,0.1953316078186035,0.1591237678527832,0.1953316078186035,,,0.76283984375,0.3746533432006836,0.0,0.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_000pct__seed_42__7d8ae61c4605\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.1,3,structure,28,0.602291600227356,0.8608000030517579,0.819,0.31093827438354493,0.15742432975769044,0.1963012866973877,0.846,0.3676952362060547,0.7532137603759765,0.3692384567260742,3.0,1.0,0.9482000122070312,0.4575963249206543,0.42182804870605467,0.22829096794128417,0.91,0.9595999908447266,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_010pct__seed_42__7d4653f145ab\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.1,3,total,28,0.9808007848262787,0.8608000030517579,0.819,0.31093827438354493,0.15742432975769044,0.1963012866973877,0.846,0.3676952362060547,0.7532137603759765,0.3692384567260742,3.0,1.0,0.9482000122070312,0.4575963249206543,0.42182804870605467,0.22829096794128417,0.91,0.9595999908447266,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_010pct__seed_42__7d4653f145ab\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.25,8,structure,38,0.598759229183197,0.8727999954223633,0.827,0.29926375007629397,0.15731939506530762,0.19540309715270995,0.858,0.3687457695007324,0.7549397201538086,0.37014159774780275,8.0,1.0,0.9465999908447266,0.45504419708251953,0.42574301528930664,0.2296375503540039,0.907,0.9579999923706055,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_025pct__seed_42__1ba41dbd95be\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_full_reconstruction,0.25,8,total,48,0.9650122370719909,0.8721999893188477,0.824,0.2993310890197754,0.15654720306396486,0.1978984546661377,0.867,0.35362299728393554,0.7495972824096679,0.3668149261474609,8.0,1.0,0.9429999923706055,0.4497063751220703,0.4260362434387207,0.22470212364196776,0.9,0.953999984741211,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_full_reconstruction__g05_025pct__seed_42__1ba41dbd95be\result.json
