seed,protocol_fingerprint,fraction,sensor_count,selection,metric,sign_only,full,improvement,relative_improvement_percent
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,mean_position_3d_error,0.7332394638061523,0.7362384490966797,-0.002998985290527334,-0.4090048938391811
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,charge_magnitude_mae,0.15552479934692381,0.15554253387451172,-1.7734527587909277e-05,-0.011403022323372028
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,relative_sign_accuracy,0.9627999954223633,0.9575999984741211,-0.005199996948242136,-0.5400910856839991
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,relative_configuration_accuracy,0.915,0.909,-0.006000000000000005,-0.6557377049180333
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,pairwise_relative_sign_accuracy,0.9505999984741211,0.9484000015258789,-0.0021999969482422443,-0.2314324586338758
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,global_sign_accuracy,0.85,0.851,0.0010000000000000009,0.11764705882352952
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,global_sign_bce,0.3634685592651367,0.3639967727661133,-0.0005282135009765931,-0.14532577509442327
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,absolute_sign_accuracy,0.8695999984741211,0.8613999938964844,-0.0082000045776367,-0.9429628095705117
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,absolute_sign_set_accuracy,0.831,0.818,-0.013000000000000012,-1.564380264741277
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,charge_mae,0.2983264942169189,0.3086505813598633,-0.01032408714294436,-3.4606672029060612
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,global_invariant_charge_mae,0.19086493301391602,0.19257705116271973,-0.001712118148803704,-0.8970312784899429
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,position_mae_x,0.44510157012939455,0.46493579864501955,-0.019834228515624996,-4.456112906961669
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,position_mae_y,0.41491066360473633,0.4046020622253418,0.010308601379394544,2.484535174351414
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,position_mae_z,0.2198360366821289,0.22235004806518555,-0.0025140113830566524,-1.1435847466135762
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,mean_position_mae,0.35994944763183595,0.36396265792846677,-0.00401321029663082,-1.1149372010526373
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,mean_position_3d_error,0.7332394638061523,0.7453684921264648,-0.012129028320312485,-1.6541701475466486
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,charge_magnitude_mae,0.15552479934692381,0.15650859451293944,-0.0009837951660156274,-0.6325648193386249
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,relative_sign_accuracy,0.9627999954223633,0.9579999923706055,-0.004800003051757762,-0.4985462271062938
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,relative_configuration_accuracy,0.915,0.908,-0.007000000000000006,-0.7650273224043722
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,pairwise_relative_sign_accuracy,0.9505999984741211,0.9473999938964843,-0.003200004577636806,-0.336629979252406
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,global_sign_accuracy,0.864,0.855,-0.009000000000000008,-1.0416666666666676
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,global_sign_bce,0.34991401290893553,0.3605832214355469,-0.010669208526611351,-3.0490943869081324
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,absolute_sign_accuracy,0.8867999954223633,0.8722000045776367,-0.014599990844726629,-1.6463679431767446
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,absolute_sign_set_accuracy,0.847,0.829,-0.018000000000000016,-2.1251475796930364
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,charge_mae,0.2781946067810059,0.29765269088745117,-0.019458084106445284,-6.99441456884987
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,structure,global_invariant_charge_mae,0.19086493301391602,0.1938388271331787,-0.0029738941192626878,-1.5581144594255354
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,position_mae_x,0.44510157012939455,0.46171228408813475,-0.016610713958740198,-3.7318929146691913
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,position_mae_y,0.41491066360473633,0.41240371322631836,0.0025069503784179714,0.604214496835929
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,position_mae_z,0.2198360366821289,0.22056898880004883,-0.0007329521179199328,-0.33340853891927746
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,mean_position_mae,0.35994944763183595,0.3648950042724609,-0.00494555664062496,-1.3739586692416268
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,mean_position_3d_error,0.7332394638061523,0.7452245559692383,-0.011985092163085964,-1.6345399770046312
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,charge_magnitude_mae,0.15552479934692381,0.15597239303588867,-0.0004475936889648535,-0.2877957025788676
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,relative_sign_accuracy,0.9627999954223633,0.9564000091552735,-0.006399986267089819,-0.6647264538345016
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,relative_configuration_accuracy,0.915,0.902,-0.013000000000000012,-1.4207650273224055
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,pairwise_relative_sign_accuracy,0.9505999984741211,0.9433999938964843,-0.007200004577636809,-0.7574168513774535
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,global_sign_accuracy,0.864,0.862,-0.0020000000000000018,-0.23148148148148168
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,global_sign_bce,0.34991401290893553,0.34903057098388673,0.0008834419250488001,0.252474005743438
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,absolute_sign_accuracy,0.8867999954223633,0.8768000030517578,-0.00999999237060556,-1.1276491229392467
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,absolute_sign_set_accuracy,0.847,0.83,-0.017000000000000015,-2.0070838252656453
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.25,8,total,charge_mae,0.2781946067810059,0.2911668128967285,-0.01297220611572264,-4.662996981078907
