trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
dropout020__g05_full_reconstruction__g1__s42,dropout020,g05_full_reconstruction,1.0,42,structure,0.001,0.0001,0.2,69,early_stopping,50.042138600256294,49,0.36097677326202393,0.0736293676495552,0.44064544582366943,0.06577696168422699,0.5800517778396607,0.9410285511016846,0.8652000045776367,0.828,0.30125238418579103,0.15393854141235352,0.1840909481048584,0.852,0.3609767723083496,0.7351368560791015,0.36099311447143556,32.0,1.0,0.9570000152587891,0.44702748489379884,0.4184217414855957,0.21753009033203125,0.924,0.9644000015258789
dropout020__g05_full_reconstruction__g1__s42,dropout020,g05_full_reconstruction,1.0,42,total,0.001,0.0001,0.2,69,early_stopping,50.042138600256294,44,0.34039738297462463,0.07325372123718261,0.44399619460105894,0.06326324117183685,0.5805131635665893,0.920910546541214,0.8737999954223633,0.837,0.2917879409790039,0.15360665130615234,0.18524544143676758,0.859,0.34039738273620607,0.7354437713623047,0.3611834945678711,32.0,1.0,0.9542000045776368,0.4487043418884277,0.4156841926574707,0.2191619129180908,0.919,0.9620000152587891
dropout020__g05_sign_only__g0.1__s42,dropout020,g05_sign_only,0.1,42,structure,0.001,0.0001,0.2,83,early_stopping,49.638191499747336,55,0.3765855293273926,0.07563333451747895,0.43463032817840574,0.06937953647971153,0.5796431913375855,0.956228720664978,0.8462000122070312,0.806,0.32440675735473634,0.15716864967346192,0.1912383861541748,0.835,0.3765855293273926,0.7264714584350586,0.3566276626586914,3.0,1.0,0.951999984741211,0.44601437759399415,0.40965293502807615,0.21421563529968263,0.915,0.9599999771118164
dropout020__g05_sign_only__g0.1__s42,dropout020,g05_sign_only,0.1,42,total,0.001,0.0001,0.2,83,early_stopping,49.638191499747336,63,0.3710652163028717,0.07521488165855408,0.4330444293022156,0.07543505138158799,0.5836943559646607,0.9547595722675324,0.851,0.807,0.3186783752441406,0.15640465354919433,0.19082440185546876,0.839,0.37106521606445314,0.7267351379394531,0.3569850654602051,3.0,1.0,0.9507999954223633,0.44102246856689453,0.413720100402832,0.2162125663757324,0.913,0.9591999893188476
dropout020__g05_sign_only__g0.25__s42,dropout020,g05_sign_only,0.25,42,structure,0.001,0.0001,0.2,83,early_stopping,50.100756799802184,55,0.37676922082901,0.07563333451747895,0.43463032817840574,0.06937953647971153,0.5796431913375855,0.9564124121665954,0.8664000091552735,0.827,0.30132921600341794,0.15716864967346192,0.1912383861541748,0.856,0.3767692184448242,0.7264714584350586,0.3566276626586914,8.0,1.0,0.951999984741211,0.44601437759399415,0.40965293502807615,0.21421563529968263,0.915,0.9599999771118164
dropout020__g05_sign_only__g0.25__s42,dropout020,g05_sign_only,0.25,42,total,0.001,0.0001,0.2,83,early_stopping,50.100756799802184,63,0.3591791079044342,0.07521488165855408,0.4330444293022156,0.07543505138158799,0.5836943559646607,0.9428734638690949,0.86,0.82,0.30649829483032226,0.15640465354919433,0.19082440185546876,0.848,0.35917910766601563,0.7267351379394531,0.3569850654602051,8.0,1.0,0.9507999954223633,0.44102246856689453,0.413720100402832,0.2162125663757324,0.913,0.9591999893188476
dropout020__g05_sign_only__g0.5__s42,dropout020,g05_sign_only,0.5,42,structure,0.001,0.0001,0.2,80,early_stopping,48.30627900036052,55,0.35792163920402525,0.07563333451747895,0.43463032817840574,0.06937953647971153,0.5796431913375855,0.9375648305416107,0.8618000030517579,0.822,0.30589056396484376,0.15716864967346192,0.1912383861541748,0.849,0.3579216384887695,0.7264714584350586,0.3566276626586914,16.0,1.0,0.951999984741211,0.44601437759399415,0.40965293502807615,0.21421563529968263,0.915,0.9599999771118164
dropout020__g05_sign_only__g0.5__s42,dropout020,g05_sign_only,0.5,42,total,0.001,0.0001,0.2,80,early_stopping,48.30627900036052,60,0.34739618134498595,0.07505424177646637,0.43654400897026063,0.07212937426567077,0.5837276191711426,0.9311238005161285,0.8661999893188477,0.824,0.3000692520141602,0.15675306129455566,0.19218236541748046,0.853,0.3473961791992187,0.730455940246582,0.35969870376586915,16.0,1.0,0.9497999954223633,0.44460320281982424,0.4166631011962891,0.21782973670959474,0.911,0.957999984741211
dropout020__g05_sign_only__g0.75__s42,dropout020,g05_sign_only,0.75,42,structure,0.001,0.0001,0.2,80,early_stopping,48.02336960006505,55,0.3514997661113739,0.07563333451747895,0.43463032817840574,0.06937953647971153,0.5796431913375855,0.9311429574489594,0.8698000106811523,0.83,0.2985689239501953,0.15716864967346192,0.1912383861541748,0.857,0.35149976348876955,0.7264714584350586,0.3566276626586914,24.0,1.0,0.951999984741211,0.44601437759399415,0.40965293502807615,0.21421563529968263,0.915,0.9599999771118164
dropout020__g05_sign_only__g0.75__s42,dropout020,g05_sign_only,0.75,42,total,0.001,0.0001,0.2,80,early_stopping,48.02336960006505,60,0.3410151221752167,0.07505424177646637,0.43654400897026063,0.07212937426567077,0.5837276191711426,0.9247427413463593,0.8674000015258789,0.825,0.29955228805541995,0.15675306129455566,0.19218236541748046,0.855,0.34101512145996093,0.730455940246582,0.35969870376586915,24.0,1.0,0.9497999954223633,0.44460320281982424,0.4166631011962891,0.21782973670959474,0.911,0.957999984741211
